© 2000-2016 QIAGEN. All rights reserved.

Upstream Regulator	Exp Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network	
progesterone	 	chemical - endogenous mammalian	Activated	2.021	2.08E-13	ACSL1,ACTA2,ADAMTS1,ADARB1,ADRA2A,ATF3,BRCA1,CD82,CDKN2B,CEBPD,CIDEC,CITED2,CXCL12,DBP,DNAJB4,ENC1,ENPP1,ERRFI1,FGFR2,FKBP5,FOXO1,FST,GCH1,HSPA2,IL12A,IRS2,KLF5,KLF9,LAMA2,LIF,MAOA,MMP7,MT2A,MTSS1,NEDD9,NFIL3,NR4A1,PDPN,PIK3R1,PRSS35,PTX3,SCD,SOCS1,STEAP1,TGFB2,TJP2,TSLP,TYMP,VEGFA,XDH	245 (17)	
let-7a-5p (and other miRNAs w/seed GAGGUAG)	 	mature microrna	 	-1.027	7.24E-13	AASS,ACTA2,ACVR1C,ADAMTS1,ADAMTS14,ADAMTS5,AHCTF1,ALPK3,AMOT,ARHGAP28,ARHGEF28,ARMC8,ATP2A2,BEGAIN,CALCOCO2,CCDC71L,CEBPD,CFLAR,CHSY3,COL11A1,COL1A1,COL4A1,CPA4,CPM,CSRNP3,CTPS1,CYTH3,DAPK2,DUSP1,DUSP23,EDA,EGR3,EOGT,EPHA4,FAM105A,FAM20A,FAM43A,GALNT15,GCNT4,GPAT3,HIF3A,HMOX1,IFI44L,IGDCC4,INPP5A,IRS2,KLF9,LBH,LGR4,MEX3A,MOB3B,NCOA3,NEDD4L,NGF,NKD1,NYNRIN,OSBPL3,PKD1L2,PKIA,PLCXD3,POU2F2,PPTC7,PRDM1,RAB11FIP4,RGS6,RHOB,RSPO2,SAMD12,SCD,SGCD,SLC22A23,SLC5A6,SLC7A14,SOCS1,SOWAHA,SPTBN4,ST8SIA1,TAGLN,THBS1,TMEM26,TNFSF9,ULK2,VASH2,VGLL3	178 (7)	
Vegf	 	group	Activated	2.196	4.72E-12	ACKR4,ACTA2,ADAMTS1,ALOX5AP,ANPEP,ATF3,AXIN2,C1QTNF1,CFLAR,CHST7,COL4A3,CXCL12,CYR61,DUSP5,EDA,EPHA4,FABP4,FAIM2,FAM198B,FKBP5,FST,GPRC5B,HMMR,HMOX1,INHBB,ITGA10,MAP3K8,MMP10,NAMPT,NR4A1,NR4A3,P2RY14,PKDCC,PPP1R1B,RAMP3,RGCC,STC1,TGFBR2,TNFRSF11B,TNFSF15,VCAM1,VEGFA,XDH	214 (18)	
NR3C1	-0.950	ligand-dependent nuclear receptor	Activated	2.921	4.97E-12	ADH1C,ALOX5AP,BRCA1,C1QTNF1,CDC42EP3,CIDEC,CYR61,DAPK2,DUSP1,ENC1,ERRFI1,FGD4,FKBP5,FOXO1,FOXO3,GADD45B,GLUL,GPX3,GRIN2A,HSPA6,IL12A,ING2,JADE1,KLF9,LEP,LIF,MAOA,MEST,MT2A,NAMPT,NAV3,NFIL3,PDPN,PER1,PIK3R1,PIK3R3,PRKCE,RHOB,SLC7A6,SOX4,STOM,STON1,THBS1,TNFAIP6,TNFRSF11B,TNFSF9,TRIM45,TSC22D3,TSLP,TUBA4A,VCAM1	327 (25)	
miR-23a-3p (and other miRNAs w/seed UCACAUU)	 	mature microrna	 	-1.410	9.08E-12	ABCA10,ACVR1C,ADAMTS5,ADRA2A,ANGPTL1,ARMC8,B3GALT2,CCDC34,CCDC71L,CD163,CHST7,CHSY3,COL4A1,COL4A4,CPM,CXCL12,DDAH1,DNAJC6,DOK6,DUSP5,EBF1,EGR3,ENC1,EOGT,EPHB2,FAM46A,FAM46C,FBN2,FGD4,FGF14,FKBP5,FZD5,GLS,GPAT3,GPRC5B,HMGB2,INPP5A,IRS2,JADE1,KLF5,LGR4,LHFPL2,LRRC4,MARCKSL1,MT2A,MTSS1,NEDD4L,NEDD9,NEGR1,NEK10,NRXN3,NUAK1,OSBPL3,PDK4,PIK3R3,PKDCC,PKIA,PLCXD3,PPP1CB,PRDM1,PREB,PRKCE,PRSS35,RAP2B,ROBO1,SAMD12,SEMA6D,SGCD,SLC22A23,SLC38A2,SLC39A10,SSH2,ST8SIA1,SYNPO2,TENM4,TGFB2,TGFBR2,TJP2,TNFAIP6,TNFSF13B,TXNRD1,ULK2,USP53,VGLL3,WASF3	 	
miR-30c-5p (and other miRNAs w/seed GUAAACA)	 	mature microrna	 	0.546	1.46E-11	ADAM12,ADAMTS14,ADAMTS5,ADRA2A,AFAP1L2,ALPK3,ANPEP,ATP2A2,CACNB2,CAMK4,CCDC71L,CIT,CRB1,CSRNP3,CYP24A1,DDAH1,DIO2,E2F7,EGR3,EOGT,EPHB2,ERRFI1,FAM43A,FAM46A,FAM46C,FOXO3,FRK,FRZB,GDNF,GFPT2,GRIN2A,IRS2,KALRN,KLF9,LHFPL2,LRRC17,MEX3B,MMD,MOB3B,MXRA5,MYOZ2,NAV3,NCOA3,NEDD4L,NEGR1,NID1,NOV,NPAS2,NRXN3,NUAK1,OMG,PDE5A,PER3,PIEZO2,PKNOX2,PLCXD3,PLPPR4,PPTC7,PRDM1,PRG4,RAP2B,RGL1,RGS6,RHOB,RRAD,RTKN2,RWDD4,SAMD4A,SAMHD1,SEMA3A,SEMA6D,SLC22A23,SLC38A2,SLC39A10,SLC6A6,SLC6A9,SLC7A6,SMARCD2,SOCS1,SOX4,SOX9,SSH2,STC1,SYN2,TM4SF1,TMEM26,TNFSF13B,TNFSF9	 	
CTNNB1	 	transcription regulator	 	0.919	1.94E-11	ACTA2,APCDD1,AXIN2,CDKN2B,CIDEC,COL1A1,COL4A1,CRABP2,CXCL12,CYP24A1,CYR61,DIO2,DNAJC6,ENPP1,EPHA5,EPHB2,EPHB3,FABP4,FST,FSTL3,GADD45B,GCH1,GDNF,GLUL,GRAMD4,INHBB,KLF5,LBH,LFNG,LSP1,MFGE8,MMP15,MMP7,NKD1,NR4A1,P2RX7,PIK3R1,PRDM1,PRSS35,SCD,SERPINA3,SOX4,SOX9,STARD7,TNFRSF11B,TNIK,TSC22D1,TSPAN8,VCAM1,VEGFA,WNT2	265 (18)	
LY294002	 	chemical - kinase inhibitor	 	0.937	2.17E-11	ACTA2,ADAMTS1,ADH1C,ANPEP,AQP3,ATF3,CCL8,CCR1,CDKN2B,CFLAR,COL1A1,CUBN,CYR61,DUSP1,EGR2,EGR3,FRK,GDF15,GDF5,HMGB2,HMOX1,HSD17B6,IL12A,INHBB,IRS2,LEP,LIF,MAP3K8,MT2A,NR4A1,NR4A3,PIK3R1,RAMP3,S1PR1,SCD,ST8SIA1,SULT1C2,THBS1,TYMP,VCAM1,VEGFA,ZBTB16	206 (18)	
cycloheximide	 	chemical reagent	 	-1.087	2.31E-11	ADRA1B,BDKRB1,BRCA1,CAMK2A,CCR1,CEBPD,CFLAR,CITED2,COL1A1,CYP24A1,CYR61,DIO2,DUSP1,FST,GADD45B,GCLM,HMOX1,IFIT1,IRS2,KCND3,KLF5,LEP,MMP7,NR4A1,PRDM1,PTX3,RHOB,SCD,TGFBR2,THBS1,TNFAIP6,TNFRSF11B,VCAM1,VEGFA,XDH	238 (18)	
miR-448-3p (and other miRNAs w/seed UGCAUAU)	 	mature microrna	 	-0.593	2.58E-11	ABCA10,ABHD5,ACVR1C,ADAT2,AMOT,APBB2,ARMC8,ATP2A2,CDON,CREB5,CXCL12,CYTH3,DKK2,EBF1,EGR3,EPHA4,EPHB2,FAM160A1,FGD4,FOXO3,GFPT2,GLS,HSPA2,ING2,INHBB,IRS2,JADE1,KANK4,KCNQ3,KLF5,LRRC17,MAP3K8,MYO16,NAMPT,NR4A3,PCDHGC5,PDLIM5,PIK3R1,PKNOX2,PLA2G4A,PLPPR4,PTPN22,RAP2B,RGL1,RPS6KA5,SAMD12,SEMA3A,SGCD,SLC7A14,SLC7A6,SMARCD2,SORL1,SPARCL1,SPTBN4,SSH2,STEAP2,STX11,SUN2,SYNPO2,TGFB2,TMEM26,TSC22D1,VASH2,XDH,ZNF135,ZSCAN31	 	
PPARG	0.903	ligand-dependent nuclear receptor	 	0.901	7.09E-11	ACSL1,ACTA2,ALOX15B,AQP3,ATP2A2,BDH1,BRCA1,CIDEC,COL1A1,CORIN,CRABP2,CTPS1,FABP4,FST,GDF15,HMOX1,IL12A,IRS2,KLF6,LEP,LOC102724788/PRODH,MCTP1,NR4A1,OLAH,PDK4,PRDM1,PRKG2,RGL1,RHOB,RNF144B,SAT1,SCD,SOCS1,SORBS1,TGFBR2,TSC22D3,TUBB,VCAM1,VEGFA	251 (22)	
FOS	 	transcription regulator	 	-0.587	7.49E-11	ADAM12,ANXA4,AQP3,ATF3,CDON,CFLAR,COL1A1,CRABP2,DAPK2,DIO2,EGR2,FABP4,FRZB,FZD5,HBA1/HBA2,HMMR,HMOX1,IRS2,KLF6,MAOA,MMP10,MMP7,MT2A,NFIL3,NGF,NR4A1,PCYT2,PDPN,PLA2G4A,PRDM1,PRKCE,RAB11FIP1,SCD,SEMA3A,SEMA6D,SMARCD2,STX11,TNFRSF11B,TSLP,TUBB,VCAM1,VEGFA,XDH	198 (15)	
E. coli serotype 0127B8 lipopolysaccharide	 	chemical - endogenous non-mammalian	 	-0.067	1.08E-10	ACSS1,ADORA1,ADRA2A,AIF1L,CHST7,CXCL12,DIO2,EGR2,FAM107A,GDNF,GLUL,GPRC5B,HMOX1,LIF,MAP3K8,NGF,P2RY14,PPP1R1B,PTX3,SLC7A5,TGFBR2,TNFRSF11B,TNFSF13B,VEGFA	218 (15)	
miR-181a-5p (and other miRNAs w/seed ACAUUCA)	 	mature microrna	 	-0.833	1.12E-10	ACSL1,ACVR1C,ADAMTS1,ADAMTS5,ADARB1,AHCTF1,ATP2A2,CCL8,CD163,CD302,CDON,CSRNP3,CYR61,DUSP10,DUSP5,E2F7,EGR2,EGR3,ENPP1,EPHA4,EPHA5,EVI2A,FAM160A1,FAM46C,FBN2,FGD4,GLS,HMGB2,INPP5A,IRS2,KALRN,KANK1,KLF15,KLF6,KLHL42,KLLN,LCTL,LIF,LMO3,LRRN1,MAMDC2,MEST,MEX3A,MEX3B,MOB3B,NEGR1,NR4A3,OSBPL3,OTOGL,PDE5A,PER3,PIK3R3,PKDCC,PKNOX2,PLCXD3,PLPPR4,PPP1CB,PRDM1,PRKAG2,PRKCE,PTPN22,RNF144B,RSPO2,RTKN2,S1PR1,SAMD12,SAMD4A,SAMHD1,SCD,SIPA1L2,SLC38A2,SOWAHA,STC1,STEAP4,SULT1C2,TGFBR2,TMEM47,TNFAIP6,TNFRSF11B,TRNP1,TSPAN8,TUBB	 	
ESR2	 	ligand-dependent nuclear receptor	 	0.366	1.24E-10	ABLIM1,ADAMTS1,ADAMTS5,ADORA1,ANPEP,ANXA4,AQP3,ATF3,CBS/CBSL,CEBPD,COL11A1,COL1A1,COMP,CPM,CXCL12,DDAH1,DUSP10,EGR3,EPHA5,FOXO1,FOXO3,HSPA2,KCNK15,LEP,MAOA,NEDD9,NOV,PDK4,PLXDC1,PSAT1,PTX3,SOX4,ST8SIA1,STON1,TENM4,TNFSF13B,VEGFA	271 (21)	
fluticasone	 	chemical drug	Activated	3.440	1.82E-10	ALOX15B,CCL8,CD163,FABP4,FKBP5,GADD45B,IFIT1,IRS2,KLF9,METTL7A,MFGE8,MMP7,MT1X,MT2A,NAMPT,PDK4,THBS1,TNFSF13B,TSC22D1,TSC22D3,TSLP,WARS,ZCCHC6	199 (11)	
NFkB (complex)	 	complex	 	0.008	2.14E-10	ADRA2A,AMPH,ATF3,ATP2A2,CCL8,CD82,CEBPD,CFLAR,CITED4,CXCL12,CYR61,DBP,DUSP5,E2F7,ENPP1,FAM46A,FST,G0S2,GADD45B,GCH1,GDF15,GDNF,GFPT2,HIF3A,HMOX1,ICOSLG/LOC102723996,IL12A,KCND3,LIF,LSP1,MAP3K8,MTSS1,NAMPT,NGF,POU2F2,PTX3,SERPINA3,SLC7A5,SOCS1,TNFAIP6,TNFRSF11B,TRPC6,TSLP,VCAM1,VEGFA	219 (15)	
AGT	 	growth factor	 	-0.505	3.11E-10	ACTA2,ADAM12,ADAMTS5,ADH1C,ATF3,BDKRB2,BRCA1,CCL8,CIT,COL1A1,COL4A1,CRABP2,CREB5,CYTH3,DUSP1,ERRFI1,FOXO3,GCH1,HMGB2,HMOX1,INHBB,KCND3,KLF5,LEP,LIF,NGF,NR4A1,PIK3R1,SGCD,SOCS1,SOX4,SSH2,STC1,TGFB2,TGFBR2,VCAM1,VEGFA	243 (20)	
miR-137-3p (and other miRNAs w/seed UAUUGCU)	 	mature microrna	 	0.295	3.12E-10	AASS,ABHD5,ACKR4,ACVR1C,ALPK3,ARHGAP42,ATP10A,B3GALT2,CACNB2,CAMK2A,COL11A1,CPM,CREB5,CTTNBP2,CXCL12,CYP24A1,DOK6,DUSP10,DUSP5,E2F7,EGR2,EOGT,EPHA5,EPHB3,FBN2,FGD4,FNDC5,GLS,GPAT3,GRAMD3,GRAMD4,GRIN2A,IMPA2,ING2,INPP5A,IRS2,JADE1,KANK4,KCTD12,KLF15,LBH,LGI3,LHFPL2,LRRC4,MTSS1,NCKAP5,NCOA3,NRXN3,OSBPL3,OTOGL,PDZD2,PHGDH,PIK3R3,PKDCC,PPP1CB,PRDM1,PRKAG2,RAPGEF5,RCOR2,RGS6,RWDD4,SCN1B,SERPINA3,SIPA1L2,SLC22A23,SLC6A6,SLC6A9,SORL1,SPTBN4,SYN2,SYN3,TBX18,TJP2,TNFAIP6,ULK2,VASH2	 	
PD98059	 	chemical - kinase inhibitor	 	-1.145	4.07E-10	ACTA2,ANPEP,ATF3,BDH1,CCR1,CDKN2B,CEBPD,CFLAR,COL1A1,COL4A1,CYP24A1,DIO2,DUSP1,DUSP5,EGR2,EGR3,ERRFI1,FABP4,FKBP5,GDNF,HMOX1,IL12A,LEP,MMD,MMP10,MMP7,MT1M,NGF,NR4A1,PER1,PIK3R1,PLA2G4A,SLC38A2,STOM,THBS1,TRPC6,TSC22D1,TSC22D3,TUBA4A,TYMP,VCAM1,VEGFA	209 (19)	
miR-92a-3p (and other miRNAs w/seed AUUGCAC)	 	mature microrna	 	-1.384	4.16E-10	ALPK3,ARHGAP29,ASB5,ATP2A2,B3GALT2,CAMK2A,CCDC71L,CFLAR,CHST7,COL11A1,CSRNP3,CTTNBP2,DUSP1,DUSP10,DUSP5,EFR3B,EGR2,FAM196A,FAM46A,FBN2,GCLM,GFPT2,GLUL,GRAMD3,GRAMD4,IMPA2,ING2,IRS2,JADE1,KALRN,KLF6,LHFPL2,LRRC4,MMD,MMP10,NAV3,NCKAP5,NCOA3,NEDD4L,NEGR1,NR4A3,PDZD2,PIK3R3,PKDCC,PRKCE,PTPN22,REV3L,RGL1,ROBO1,S1PR1,SCRG1,SEMA3A,SEMA6D,SLC38A2,SORL1,SOX4,SPTBN4,STEAP2,STEAP4,SYN2,SYN3,SYNPO2,TEX2,TGFB2,TPPP,UBASH3B,VASH2	 	
miR-3612 (and other miRNAs w/seed GGAGGCA)	 	mature microrna	 	-0.915	8.50E-10	ADAT2,ANXA4,ARSI,ATP2A2,C7,C9orf3,CCDC34,CENPP,CITED4,COL11A1,COL4A3,CORO2B,CREB5,EMID1,EOGT,FAM160A1,FAM171B,FAM198B,FER1L6,FGFR2,FOXO1,FSTL3,GCLM,GFPT2,GLS,GPR68,GPRC5B,GPX3,HAPLN3,HIF3A,KCNS1,KIAA1755,KLF15,KLF6,KLLN,LMO3,LMOD1,LOC102724788/PRODH,LRRC25,MAP3K8,MARCKSL1,MMP15,MYADM,NEDD9,NEK10,NPAS2,OSBPL3,PCDHGC5,PCYT2,PLB1,POU2F2,PRKG2,RAB11FIP4,RAP2B,RHOJ,RNF144B,ROBO1,RPS6KA5,SAMD12,SCARF1,SCD,SLC6A6,SMARCD2,SORBS1,STOM,STX11,TENM4,TEX2,TGFBR2,THBS1,TMEM100,TMEM119,TMEM26,TNFSF9,TSC22D1,TSPAN32,ULK2,YPEL4,ZC2HC1C	 	
FGF2	 	growth factor	 	-1.016	9.87E-10	ACTA2,ADAMTS5,ANG,ANPEP,AQP3,CFLAR,CIDEC,COL1A1,CXCL12,CYR61,DKK2,ENPP1,ERRFI1,FABP4,FGFR2,FOXO1,FOXO3,GDNF,GRIK4,GRIN2A,NOG,NOV,NR4A1,PLXDC1,PRKCE,SCD,SOX9,TAGLN,TGFB2,THBS1,VCAM1,VEGFA	236 (22)	
WNT3A	 	cytokine	 	0.413	1.64E-09	ACTA2,ADM2,AXIN2,CAMK4,COL1A1,CXCL12,CYR61,DKK2,DNAJC6,EGR2,EPHA5,FABP4,GDNF,IRS2,KCTD12,LBH,LRRC17,MMD,MT1X,NKD1,SOX9,TGFB2,THBS1,TNFRSF11B,VCAM1,VEGFA	209 (18)	
